IP,Host_name,Serial_no,IOS_ver,show_ver,System_img,IOS_rel_date,Age(yr),eol_date,Model,config_reg,RAM(MB),Flash_size(MB),Flash_in_use(MB),Flash_free(MB),Uptime
10.45.121.17,abcsw07,JAE53550Y73,16.09.03,"Cisco IOS XE Software, Version 16.09.03","""flash:packages.conf""",20-Mar-19,2.44,#N/A,C9200L-48P-4X,0x102,507.29,1857.44,700.56,1156.88," 10 weeks, 6 days, 8 hours, 54 minutes"
10.45.121.2,abcsw12,CAT5330L0KC,16.12.02,"Cisco IOS XE Software, Version 16.12.02","""bootflash:packages.conf""",19-Nov-19,1.77,#N/A,C9500-48Y4C,0x102,1824.48,10678.62,2421.16,8257.46," 10 weeks, 6 days, 8 hours, 53 minutes"
10.22.167.21,abcsw09,FCW5515B3FE,15.2(2)E7,"Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E7, RELEASE SOFTWARE (fc3)","""flash:/c2960x-universalk9-mz.152-2.E7/c2960x-universalk9-mz.152-2.E7.bin""",12-Jul-17,4.13,"October 31, 2026",WS-C2960X-24PS-L,0xF,512,122.19,27.19,95," 14 weeks, 5 days, 5 hours, 19 minutes"
10.45.18.49,abcsw89,FOC1535V393,12.2(35)SE5,"Cisco IOS Software, C3560 Software (C3560-IPBASEK9-M), Version 12.2(35)SE5, RELEASE SOFTWARE (fc1)","""flash:c3560-ipbasek9-mz.122-35.SE5/c3560-ipbasek9-mz.122-35.SE5.bin""",20-Jul-07,14.11,"July 31, 2018",WS-C3560-8PC,0xF,120,28,19.28,8.71," 35 weeks, 5 hours, 22 minutes"
10.45.18.86,abcsw85,FOC1538V351,12.2(35)SE5,"Cisco IOS Software, C3560 Software (C3560-IPBASEK9-M), Version 12.2(35)SE5, RELEASE SOFTWARE (fc1)","""flash:c3560-ipbasek9-mz.122-35.SE5/c3560-ipbasek9-mz.122-35.SE5.bin""",20-Jul-07,14.11,"July 31, 2018",WS-C3560-8PC,0xF,120,28,19.28,8.72," 1 year, 2 weeks, 1 day, 4 hours, 9 minutes"
10.45.137.19,abcsw01,FCW5503F0YS,03.07.04E,"Cisco IOS Software, IOS-XE Software, Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 03.07.04E RELEASE SOFTWARE (fc1)","""flash:packages.conf""",19-May-16,5.27,"October 31, 2025",WS-C3850-12S,0x102,4096,1541.6,335.95,1205.66," 13 weeks, 1 hour, 39 minutes"
10.45.67.20,abcsw02,FCQ1551Y0GR,12.2(50)SE5,"Cisco IOS Software, C2960 Software (C2960-LANBASEK9-M), Version 12.2(50)SE5, RELEASE SOFTWARE (fc1)","""flash:/c2960-lanbasek9-mz.122-50.SE5/c2960-lanbasek9-mz.122-50.SE5.bin""",28-Sep-10,10.92,"October 31, 2019",WS-C2960-24LT-L,0xF,64,28,11.93,16.06," 17 weeks, 4 days, 23 hours, 30 minutes"
10.45.18.56,abcsw55,FOC5313L319,15.2(4)E8,"Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(4)E8, RELEASE SOFTWARE (fc3)","""flash:/c2960x-universalk9-mz.152-4.E8/c2960x-universalk9-mz.152-4.E8.bin""",15-Mar-19,2.45,"October 31, 2026",WS-C2960X-24PS-L,0xF,512,122.19,30.59,91.6," 15 weeks, 5 days, 9 hours, 41 minutes"
10.45.18.87,abcsw86,FDO5303J6DB,15.2(4)EA9,"Cisco IOS Software, IE2000 Software (IE2000-UNIVERSALK9-M), Version 15.2(4)EA9, RELEASE SOFTWARE (fc2)","""sdflash:/ie2000-universalk9-mz.152-4.EA9/ie2000-universalk9-mz.152-4.EA9.bin""",26-Jun-19,2.17,"March 31, 2026",IE-2000-8TC-B,0xF,256,57.93,31.96,25.97," 1 day, 15 hours, 58 minutes"
10.45.121.62,abcsw61,FOC1130W053,12.2(25)SEE,"Cisco IOS Software, C2960 Software (C2960-LANBASEK9-M), Version 12.2(25)SEE, RELEASE SOFTWARE (fc2)","""flash:c2960-lanbasek9-mz.122-25.SEE/c2960-lanbasek9-mz.122-25.SEE.bin""",03-Feb-06,15.57,"October 31, 2019",WS-C2960-24TC-L,0xF,60,32.51,6.74,25.77," 2 weeks, 1 day, 14 hours, 6 minutes"
10.47.5.224,abcsw31,FOC1751Y63D,12.2(55)EX3,"Cisco IOS Software, C2960C Software (C2960c405-UNIVERSALK9-M), Version 12.2(55)EX3, RELEASE SOFTWARE (fc2)","""flash:/c2960c405-universalk9-mz.122-55.EX3/c2960c405-universalk9-mz.122-55.EX3.bin""",10-Aug-11,10.05,"October 31, 2025",WS-C2960C-12PC-L,0xF,128,60,15.03,44.97," 2 weeks, 2 hours, 59 minutes"
10.45.137.22,abcsw05,FOC5313LC3X,15.2(7)E,"Cisco IOS Software, C2960CX Software (C2960CX-UNIVERSALK9-M), Version 15.2(7)E, RELEASE SOFTWARE (fc3)","""flash:/c2960cx-universalk9-mz.152-7.E/c2960cx-universalk9-mz.152-7.E.bin""",23-Mar-19,2.43,"March 31, 2021",WS-C2960CX-8PC-L,0xF,512,122.19,30.35,91.84," 33 weeks, 3 days, 23 hours, 48 minutes"
